day,all
20220912,245
20220912,4274
20220912,16113
20220912,4196
20220912,952
20220912,8
20220912,874
20220912,31803
20220912,6819
20220912,220
20220912,1167
20220912,2335
20220912,289
20220912,897
20220912,4142
20220912,24507
20220912,8046
20220912,230050
20220912,116719
20220912,41533
20220912,5868
20220912,225767
20220912,253044
20220912,1344989
20220912,2281374
20220911,43
20220911,3
20220911,179
20220911,5
20220911,43
20220911,8
20220911,58
20220911,7
20220911,2
20220911,2
20220911,6
20220911,10
20220911,94
20220911,6
20220911,34
20220911,1
20220911,33
20220911,5
20220911,6
20220911,2
20220911,1394
20220911,12
20220911,6
20220911,1
20220911,2
20220911,35
20220911,32
20220911,55
20220911,153
20220911,7
20220911,123
20220911,13
20220911,8
20220911,160
20220911,117
20220911,93
20220911,1
20220911,9
20220911,16
20220911,2
20220911,10
20220911,8
20220911,8
20220911,227
20220911,1
20220911,19
20220911,2
20220911,2
20220911,25
20220911,8
20220911,17
20220911,47
20220911,8
20220911,18
20220911,5
20220911,3
20220911,24
20220911,5
20220911,9
20220911,12
20220911,4
20220911,8
20220911,2
20220911,118
20220911,29
20220911,1
20220911,90
20220911,5
20220911,1
20220911,119
20220911,35
20220911,4
20220911,2
20220911,5
20220911,8
20220911,2
20220911,4
20220911,1
20220911,3
20220911,2
20220911,9
20220911,1
20220911,8
20220911,6
20220911,21
20220911,11
20220911,6
20220911,4
20220911,1
20220911,17
20220911,4
20220911,4
20220911,4
20220911,5
20220911,14
20220911,2
20220911,1
20220911,5
20220911,6
20220911,3
20220911,1
20220911,12
20220911,65
20220911,1
20220911,1
20220911,7
20220911,27
20220911,8
20220911,6
20220911,15
20220911,130
20220911,1
20220911,58
20220911,2
20220911,1
20220911,13
20220911,677
20220911,196
20220911,43
20220911,292
20220911,5
20220911,39
20220911,2
20220911,61
20220911,65
20220911,1
20220911,97
20220911,1078
20220911,24
20220911,196
20220911,47
20220911,4
20220911,3
20220911,131
20220911,789
20220911,10
20220911,4
20220911,250
20220911,429
20220911,2
20220911,4744
20220911,70
20220911,652
20220911,98
20220911,32
20220911,300
20220911,57
20220911,1
20220911,34
20220911,50
20220911,17
20220911,32
20220911,40
20220911,850
20220911,114
20220911,20
20220911,93
20220911,579
20220911,111
20220911,122
20220911,461
20220911,314
20220911,53
20220911,1
20220911,62
20220911,722
20220911,92
20220911,16
20220911,255
20220911,4311
20220911,825
20220911,15925
20220911,3891
20220911,3723
20220911,892
20220911,7269
20220911,4
20220911,848
20220911,766
20220911,27524
20220911,6287
20220911,203
20220911,1145
20220911,2004
20220911,22185
20220911,319
20220911,113654
20220911,214364
20220911,227533
20220911,202155
20220911,5952
20220911,38633
20220911,2099580
20220911,1230240
20220910,25
20220910,93
20220910,3
20220910,1
20220910,83
20220910,33
20220910,3
20220910,1
20220910,1
20220910,7
20220910,3
20220910,7
20220910,1
20220910,4
20220910,4
20220910,18
20220910,4
20220910,5
20220910,25
20220910,15
20220910,2
20220910,1
20220910,16
20220910,4
20220910,1
20220910,3
20220910,1
20220910,9
20220910,5
20220910,3
20220910,5
20220910,1
20220910,1
20220910,10
20220910,67
20220910,1
20220910,45
20220910,5
20220910,14
20220910,5
20220910,13
20220910,111
20220910,2
20220910,49
20220910,4
20220910,2
20220910,5
20220910,43
20220910,2
20220910,145
20220910,10
20220910,35
20220910,2
20220910,1
20220910,5
20220910,8
20220910,61
20220910,6
20220910,4
20220910,2
20220910,9
20220910,77
20220910,3
20220910,33
20220910,8
20220910,6
20220910,29
20220910,2
20220910,1358
20220910,10
20220910,7
20220910,2
20220910,3
20220910,45
20220910,28
20220910,32
20220910,146
20220910,6
20220910,127
20220910,11
20220910,18
20220910,161
20220910,110
20220910,87
20220910,13
20220910,13
20220910,3
20220910,8
20220910,4
20220910,1
20220910,1
20220910,202
20220910,9
20220910,5
20220910,4
20220910,9
20220910,14
20220910,15
20220910,9
20220910,18
20220910,41
20220910,1
20220910,2
20220910,4
20220910,27
20220910,1
20220910,5
20220910,8
20220910,5
20220910,7
20220910,1
20220910,1
20220910,4
20220910,114
20220910,564
20220910,188
20220910,40
20220910,264
20220910,7
20220910,26
20220910,8
20220910,78
20220910,50
20220910,2
20220910,75
20220910,867
20220910,22
20220910,163
20220910,41
20220910,1
20220910,79
20220910,621
20220910,22
20220910,1
20220910,222
20220910,405
20220910,2
20220910,4073
20220910,54
20220910,581
20220910,70
20220910,21
20220910,267
20220910,45
20220910,1
20220910,40
20220910,50
20220910,11
20220910,28
20220910,46
20220910,740
20220910,100
20220910,7
20220910,516
20220910,96
20220910,129
20220910,88
20220910,400
20220910,220
20220910,1
20220910,46
20220910,4
20220910,64
20220910,69
20220910,630
20220910,14
20220910,598
20220910,212
20220910,3050
20220910,15868
20220910,3494
20220910,745
20220910,20
20220910,631
20220910,23780
20220910,5226
20220910,233
20220910,891
20220910,1668
20220910,268
20220910,708
20220910,3265
20220910,21467
20220910,5746
20220910,179897
20220910,82268
20220910,29841
20220910,5212
20220910,159850
20220910,185665
20220910,947307
20220910,1571622
20220909,57
20220909,3
20220909,25
20220909,1
20220909,3
20220909,67
20220909,5
20220909,7
20220909,2
20220909,3
20220909,5
20220909,109
20220909,43
20220909,1
20220909,4
20220909,12
20220909,35
20220909,2
20220909,2553
20220909,17
20220909,4
20220909,7
20220909,38
20220909,15
20220909,44
20220909,1
20220909,59
20220909,218
20220909,10
20220909,221
20220909,9
20220909,15
20220909,276
20220909,139
20220909,118
20220909,18
20220909,26
20220909,7
20220909,14
20220909,1
20220909,9
20220909,5
20220909,324
20220909,14
20220909,3
20220909,34
20220909,8
20220909,12
20220909,6
20220909,21
20220909,63
20220909,12
20220909,1
20220909,2
20220909,30
20220909,1
20220909,7
20220909,6
20220909,7
20220909,8
20220909,11
20220909,2
20220909,3
20220909,171
20220909,42
20220909,103
20220909,1
20220909,4
20220909,131
20220909,39
20220909,1
20220909,4
20220909,4
20220909,9
20220909,2
20220909,11
20220909,1
20220909,5
20220909,3
20220909,15
20220909,3
20220909,4
20220909,5
20220909,23
20220909,16
20220909,3
20220909,1
20220909,1
20220909,27
20220909,3
20220909,2
20220909,4
20220909,1
20220909,22
20220909,3
20220909,6
20220909,7
20220909,2
20220909,1
20220909,3
20220909,9
20220909,106
20220909,4
20220909,7
20220909,49
20220909,12
20220909,16
20220909,26
20220909,180
20220909,2
20220909,84
20220909,8
20220909,8
20220909,77
20220909,4
20220909,218
20220909,10
20220909,6
20220909,856
20220909,256
20220909,52
20220909,354
20220909,4
20220909,29
20220909,3
20220909,46
20220909,83
20220909,112
20220909,1260
20220909,12
20220909,275
20220909,58
20220909,1
20220909,6
20220909,147
20220909,939
20220909,13
20220909,1
20220909,252
20220909,469
20220909,2
20220909,7450
20220909,57
20220909,665
20220909,113
20220909,29
20220909,364
20220909,51
20220909,44
20220909,76
20220909,17
20220909,24
20220909,58
20220909,1009
20220909,142
20220909,15
20220909,598
20220909,144
20220909,118
20220909,149
20220909,503
20220909,381
20220909,66
20220909,2
20220909,86
20220909,919
20220909,103
20220909,28
20220909,818
20220909,314
20220909,3849
20220909,15145
20220909,3781
20220909,1071
20220909,15
20220909,840
20220909,33745
20220909,7223
20220909,274
20220909,1090
20220909,2399
20220909,308
20220909,930
20220909,4529
20220909,23704
20220909,7512
20220909,35915
20220909,240258
20220909,6400
20220909,109486
20220909,238624
20220909,180652
20220909,2055996
20220909,1242420
20220908,30
20220908,108
20220908,29
20220908,9
20220908,1
20220908,13
20220908,11
20220908,8
20220908,9
20220908,172
20220908,1
20220908,71
20220908,2
20220908,22
20220908,22
20220908,76
20220908,4474
20220908,7
20220908,35
20220908,22
20220908,4
20220908,19
20220908,92
20220908,102
20220908,1
20220908,2
20220908,138
20220908,466
20220908,10
20220908,485
20220908,21
20220908,34
20220908,474
20220908,235
20220908,248
20220908,37
20220908,21
20220908,6
20220908,31
20220908,22
20220908,10
20220908,704
20220908,27
20220908,12
20220908,8
20220908,37
20220908,19
20220908,46
20220908,30
20220908,17
20220908,102
20220908,5
20220908,7
20220908,48
20220908,2
20220908,16
20220908,20
20220908,22
20220908,1
20220908,18
20220908,18
20220908,2
20220908,11
20220908,341
20220908,90
20220908,2
20220908,197
20220908,3
20220908,2
20220908,1
20220908,399
20220908,72
20220908,9
20220908,2
20220908,7
20220908,4
20220908,5
20220908,16
20220908,8
20220908,13
20220908,28
20220908,1
20220908,20
20220908,14
20220908,48
20220908,28
20220908,5
20220908,8
20220908,2
20220908,2
